Turma,Turno,Dia da Semana,Periodo_Aula,Carrinho,Disciplina
6º Ano A,Manhã,Quarta,1,C3,Inglês
6º Ano A,Manhã,Quinta,1,C3,Geografia
6º Ano A,Manhã,Segunda,2,C3,Português
6º Ano A,Manhã,Terça,2,C3,Matemática
6º Ano A,Manhã,Quinta,2,C3,Ciências
6º Ano A,Manhã,Sexta,2,C3,Português
6º Ano A,Manhã,Segunda,3,C3,Inglês
6º Ano A,Manhã,Terça,4,C3,Espanhol
6º Ano A,Manhã,Quarta,4,C3,Arte
6º Ano A,Manhã,Segunda,5,C3,Matemática
6º Ano A,Manhã,Terça,6,C3,História
7º Ano A,Manhã,Segunda,1,C3,Português
7º Ano A,Manhã,Segunda,2,C3,Matemática
7º Ano A,Manhã,Quarta,2,C3,Português
7º Ano A,Manhã,Quinta,2,C3,Geografia
7º Ano A,Manhã,Terça,3,C3,Ciências
7º Ano A,Manhã,Quarta,3,C3,Matemática
7º Ano A,Manhã,Quinta,3,C3,Português
7º Ano A,Manhã,Sexta,3,C3,Inglês
7º Ano A,Manhã,Quarta,4,C3,Espanhol
7º Ano A,Manhã,Terça,5,C3,História
7º Ano A,Manhã,Quinta,5,C3,Redação
7º Ano A,Manhã,Quinta,6,C3,Eletiva
8º Ano A,Manhã,Terça,1,C4,Ciências
8º Ano A,Manhã,Sexta,1,C4,Inglês
8º Ano A,Manhã,Quarta,3,C4,Matemática
8º Ano A,Manhã,Segunda,4,C4,História
8º Ano A,Manhã,Terça,4,C4,Matemática
8º Ano A,Manhã,Quarta,4,C4,ECO
8º Ano A,Manhã,Quinta,4,C4,Geografia
8º Ano A,Manhã,Segunda,5,C4,Português
8º Ano A,Manhã,Segunda,6,C4,Arte
8º Ano A,Manhã,Terça,6,C4,Eletiva
6º Ano B,Tarde,Quarta,1,C4,Ed. Tecn.
6º Ano B,Tarde,Segunda,2,C4,Matemática
6º Ano B,Tarde,Terça,2,C4,Matemática
6º Ano B,Tarde,Quarta,2,C4,Eletiva
6º Ano B,Tarde,Quinta,2,C4,Ciências
6º Ano B,Tarde,Terça,3,C4,Espanhol
6º Ano B,Tarde,Quarta,3,C4,Português
6º Ano B,Tarde,Sexta,3,C4,Matemática
6º Ano B,Tarde,Terça,4,C4,Português
6º Ano B,Tarde,Quarta,4,C4,Arte
6º Ano B,Tarde,Quinta,4,C4,Geografia
6º Ano B,Tarde,Segunda,5,C4,Ed. Tecn.
6º Ano B,Tarde,Quarta,5,C4,Redação
6º Ano B,Tarde,Segunda,6,C4,História
6º Ano B,Tarde,Terça,6,C4,ECO
6º Ano B,Tarde,Sexta,6,C4,Inglês
7º Ano B,Tarde,Terça,2,C3,Ciências
7º Ano B,Tarde,Segunda,3,C3,Português
7º Ano B,Tarde,Terça,3,C3,Português
7º Ano B,Tarde,Sexta,3,C3,Geografia
7º Ano B,Tarde,Terça,4,C3,Matemática
7º Ano B,Tarde,Quarta,4,C3,Redação
7º Ano B,Tarde,Quarta,5,C3,Arte
7º Ano B,Tarde,Quinta,5,C3,Inglês
7º Ano B,Tarde,Segunda,6,C3,Matemática
7º Ano B,Tarde,Quarta,6,C3,História
7º Ano B,Tarde,Quinta,6,C3,Espanhol
